"Date","CWUR0000SA0R"
1913-01-01,1012.5
1913-02-01,1016
1913-03-01,1016
1913-04-01,1012.5
1913-05-01,1019.6
1913-06-01,1016
1913-07-01,1005.6
1913-08-01,999.1
1913-09-01,995.5
1913-10-01,988.9
1913-11-01,985.7
1913-12-01,988.9
1914-01-01,988.9
1914-02-01,999.1
1914-03-01,1002.3
1914-04-01,1012.5
1914-05-01,1005.6
1914-06-01,999.1
1914-07-01,988.9
1914-08-01,976.1
1914-09-01,972.9
1914-10-01,979.1
1914-11-01,976.1
1914-12-01,979.1
1915-01-01,982.4
1915-02-01,988.9
1915-03-01,999.1
1915-04-01,988.9
1915-05-01,985.7
1915-06-01,982.4
1915-07-01,982.4
1915-08-01,982.4
1915-09-01,979.1
1915-10-01,969.6
1915-11-01,963.3
1915-12-01,960.4
1916-01-01,951.1
1916-02-01,951.1
1916-03-01,942.2
1916-04-01,933.3
1916-05-01,930.3
1916-06-01,918.7
1916-07-01,918.7
1916-08-01,907.7
1916-09-01,891.3
1916-10-01,880.9
1916-11-01,865.4
1916-12-01,860.3
1917-01-01,850.5
1917-02-01,831.5
1917-03-01,827
1917-04-01,791.9
1917-05-01,775.2
1917-06-01,767.2
1917-07-01,775.2
1917-08-01,763.3
1917-09-01,749.9
1917-10-01,736.8
1917-11-01,735
1917-12-01,726.1
1918-01-01,712.1
1918-02-01,705.5
1918-03-01,708.8
1918-04-01,700.5
1918-05-01,687.4
1918-06-01,675.2
1918-07-01,658.5
1918-08-01,647.2
1918-09-01,632
1918-10-01,621.6
1918-11-01,611.2
1918-12-01,602.5
1919-01-01,601.3
1919-02-01,615
1919-03-01,607.6
1919-04-01,596.6
1919-05-01,588.2
1919-06-01,587.1
1919-07-01,571.3
1919-08-01,561.7
1919-09-01,558.5
1919-10-01,549.2
1919-11-01,536.4
1919-12-01,525.1
1920-01-01,515
1920-02-01,508.8
1920-03-01,503.7
1920-04-01,489.7
1920-05-01,481.7
1920-06-01,474.8
1920-07-01,477.8
1920-08-01,490.3
1920-09-01,496.3
1920-10-01,498.6
1920-11-01,501.9
1920-12-01,513.2
1921-01-01,522.2
1921-02-01,539.4
1921-03-01,543.3
1921-04-01,550.1
1921-05-01,560.6
1921-06-01,563.8
1921-07-01,562.6
1921-08-01,560.6
1921-09-01,567.1
1921-10-01,568
1921-11-01,571.3
1921-12-01,574.8
1922-01-01,587.1
