"Date","FLEXCPIM679SFRBATL"
1967-03-01,0.742523431
1967-04-01,0.316685385
1967-05-01,0.107190602
1967-06-01,2.579388515
1967-07-01,4.759933796
1967-08-01,6.346184438
1967-09-01,5.660040015
1967-10-01,4.073489052
1967-11-01,3.068538707
1967-12-01,2.31362993
1968-01-01,3.470859387
1968-02-01,3.829332255
1968-03-01,3.965995204
1968-04-01,3.248328613
1968-05-01,2.844495602
1968-06-01,3.387863094
1968-07-01,3.670669523
1968-08-01,4.492180008
1968-09-01,4.439833998
1968-10-01,5.235508336
1968-11-01,4.286012881
1968-12-01,2.457574663
1969-01-01,1.265222062
1969-02-01,2.408736064
1969-03-01,5.752815749
1969-04-01,6.633767836
1969-05-01,4.868374768
1969-06-01,5.674983617
1969-07-01,5.241272177
1969-08-01,6.403321823
1969-09-01,4.199204001
1969-10-01,4.536791995
1969-11-01,5.884174466
1969-12-01,7.634498457
1970-01-01,6.140329143
1970-02-01,5.114901033
1970-03-01,1.136613656
1970-04-01,3.069918631
1970-05-01,2.573887748
1970-06-01,3.995388615
1970-07-01,2.900538833
1970-08-01,1.47466694
1970-09-01,3.000325065
1970-10-01,4.178073225
1970-11-01,5.311793603
1970-12-01,4.879937258
1971-01-01,2.430322369
1971-02-01,2.041636578
1971-03-01,1.835811267
1971-04-01,3.602746866
1971-05-01,4.705442427
1971-06-01,4.994063799
1971-07-01,3.931649991
1971-08-01,3.053598077
1971-09-01,0.732838598
1971-10-01,1.402195852
1971-11-01,0.745673928
1971-12-01,4.084846678
1972-01-01,2.848846196
1972-02-01,5.828239185
1972-03-01,2.929822533
1972-04-01,3.024562198
1972-05-01,1.056255799
1972-06-01,1.326521821
1972-07-01,2.90856463
1972-08-01,2.508425033
1972-09-01,5.920361022
1972-10-01,5.789686537
1972-11-01,7.329740627
1972-12-01,5.310287565
1973-01-01,7.98301261
1973-02-01,11.027134131
1973-03-01,16.625664444
1973-04-01,17.93510168
1973-05-01,15.948051586
1973-06-01,12.192146069
1973-07-01,6.919978194
1973-08-01,20.711826468
1973-09-01,15.66574552
1973-10-01,18.544926932
1973-11-01,7.079294452
1973-12-01,13.142239866
1974-01-01,17.145183878
1974-02-01,20.876407058
1974-03-01,22.341215519
1974-04-01,16.761068365
1974-05-01,12.818934712
1974-06-01,8.84332853
1974-07-01,8.374267662
1974-08-01,9.569163023
1974-09-01,13.567922027
1974-10-01,16.438774091
1974-11-01,14.334805174
1974-12-01,11.189026552
1975-01-01,9.029043158
1975-02-01,5.674278891
1975-03-01,3.013743451
1975-04-01,1.095879232
1975-05-01,1.410939912
1975-06-01,4.988291588
1975-07-01,12.639802406
1975-08-01,11.991203467
1975-09-01,10.690130334
1975-10-01,6.369030461
1975-11-01,7.96650592
1975-12-01,7.347138352
1976-01-01,3.87631797
1976-02-01,0.094716361
1976-03-01,-2.968512914
1976-04-01,-2.049232963
1976-05-01,1.402542093
1976-06-01,3.842976713
1976-07-01,5.291312571
1976-08-01,5.340902595
1976-09-01,6.208337318
1976-10-01,6.619020161
1976-11-01,6.011170036
1976-12-01,5.97481897
1977-01-01,6.70318259
1977-02-01,11.661854884
1977-03-01,11.48309541
1977-04-01,11.166920827
1977-05-01,5.711152837
1977-06-01,4.920060425
1977-07-01,3.176142193
1977-08-01,2.79720734
1977-09-01,2.447727464
1977-10-01,2.825852967
1977-11-01,6.088937983
1977-12-01,6.373471677
1978-01-01,6.981868397
1978-02-01,4.910187135
1978-03-01,7.19222645
1978-04-01,9.307739606
1978-05-01,12.218141612
1978-06-01,13.070741526
1978-07-01,10.931935145
1978-08-01,8.042928086
1978-09-01,6.133870389
1978-10-01,7.953725215
1978-11-01,9.197112778
1978-12-01,9.607643545
1979-01-01,10.139668541
1979-02-01,12.472906671
1979-03-01,15.615845159
1979-04-01,17.6634132
1979-05-01,18.846738877
1979-06-01,19.263064503
1979-07-01,18.294579932
1979-08-01,15.333113078
1979-09-01,13.76510218
1979-10-01,11.55644573
1979-11-01,10.68854553
1979-12-01,10.807842594
1980-01-01,16.314811898
1980-02-01,19.981259414
1980-03-01,23.23483395
1980-04-01,15.945448959
1980-05-01,11.913347419
1980-06-01,5.528370593
1980-07-01,6.875183477
1980-08-01,9.325161205
1980-09-01,12.18296797
1980-10-01,12.027577872
1980-11-01,11.396324625
1980-12-01,10.46955324
1981-01-01,12.692947043
1981-02-01,16.407807397
1981-03-01,17.720779246
1981-04-01,12.492703464
1981-05-01,5.460146637
1981-06-01,2.592667768
1981-07-01,4.876085353
1981-08-01,6.475619475
1981-09-01,7.574840861
1981-10-01,6.3667667
1981-11-01,5.927412162
1981-12-01,4.269531132
1982-01-01,3.92626237
1982-02-01,2.638361796
1982-03-01,1.121509048
1982-04-01,-2.750397061
1982-05-01,-0.310177112
1982-06-01,6.889616725
1982-07-01,11.751163965
1982-08-01,7.940951913
1982-09-01,1.771068407
1982-10-01,1.88407742
1982-11-01,3.213807547
1982-12-01,2.057683746
1983-01-01,0.062047866
1983-02-01,-2.107273273
1983-03-01,-1.456939901
1983-04-01,2.275351484
1983-05-01,6.774414447
1983-06-01,7.785379418
1983-07-01,5.8153545
1983-08-01,4.283200444
1983-09-01,4.230897862
1983-10-01,3.255811124
1983-11-01,2.186987458
1983-12-01,1.73201246
1984-01-01,4.353282334
1984-02-01,6.520904988
1984-03-01,7.080340694
1984-04-01,4.584311495
1984-05-01,2.055783495
1984-06-01,1.412224052
1984-07-01,1.048213803
1984-08-01,1.956452707
1984-09-01,2.261359106
1984-10-01,2.596901586
1984-11-01,1.441099128
1984-12-01,0.400721634
1985-01-01,0.502402035
1985-02-01,2.512831717
1985-03-01,5.046439072
1985-04-01,4.657162348
1985-05-01,1.310478979
1985-06-01,-0.332875383
1985-07-01,-1.199420896
1985-08-01,-1.177804007
1985-09-01,-1.110061324
1985-10-01,-0.886596452
1985-11-01,2.759127409
1985-12-01,4.89564344
1986-01-01,5.505420629
1986-02-01,-1.081185655
1986-03-01,-10.644075386
1986-04-01,-16.505759713
1986-05-01,-12.416786009
1986-06-01,-3.551710159
1986-07-01,0.956662396
1986-08-01,0.18295921
1986-09-01,-0.472824512
1986-10-01,-0.23923647
1986-11-01,0.488887021
1986-12-01,0.176693124
1987-01-01,7.119865777
1987-02-01,9.553244846
1987-03-01,9.554206446
1987-04-01,5.155034841
1987-05-01,3.586147233
1987-06-01,5.80967146
1987-07-01,5.57948945
1987-08-01,6.723206499
1987-09-01,4.354445046
1987-10-01,3.234097862
1987-11-01,1.92560765
1987-12-01,1.012786342
1988-01-01,1.60585697
1988-02-01,-0.297831711
1988-03-01,0.348715586
1988-04-01,2.44895115
1988-05-01,3.82981025
1988-06-01,5.279962109
1988-07-01,5.833949563
1988-08-01,6.515378687
1988-09-01,6.887152223
1988-10-01,4.699827246
1988-11-01,3.83602173
1988-12-01,2.330324942
1989-01-01,3.856279354
1989-02-01,4.839679547
1989-03-01,6.922049308
1989-04-01,11.122609024
1989-05-01,12.259190384
1989-06-01,9.138332155
1989-07-01,2.743564485
1989-08-01,-1.70370638
1989-09-01,-1.865253704
1989-10-01,-0.005086933
1989-11-01,3.016153334
1989-12-01,4.631072118
1990-01-01,11.31528504
1990-02-01,12.587840972
1990-03-01,11.290363969
1990-04-01,1.735497217
1990-05-01,-0.936057992
1990-06-01,1.194417402
1990-07-01,2.898351663
1990-08-01,9.343912917
1990-09-01,13.335642169
1990-10-01,18.035287482
1990-11-01,13.012551279
1990-12-01,7.655358384
1991-01-01,2.107262938
1991-02-01,-1.64487817
1991-03-01,-4.77633424
1991-04-01,-3.754491822
1991-05-01,0.788609925
1991-06-01,3.498819352
