"Date","STICKCPIXSHLTRM159SFRBATL"
1967-12-01,3.658266189
1968-01-01,4.00643476
1968-02-01,4.053200374
1968-03-01,4.357155239
1968-04-01,4.338833362
1968-05-01,4.478256645
1968-06-01,4.580171229
1968-07-01,4.494458312
1968-08-01,4.616510533
1968-09-01,4.612705792
1968-10-01,4.797545458
1968-11-01,4.882161107
1968-12-01,5.136914429
1969-01-01,4.978073877
1969-02-01,4.989884892
1969-03-01,4.960839377
1969-04-01,5.175209513
1969-05-01,5.199925365
1969-06-01,5.264759432
1969-07-01,5.337432681
1969-08-01,5.406150934
1969-09-01,5.497978733
1969-10-01,5.213321114
1969-11-01,5.137316026
1969-12-01,5.149853496
1970-01-01,5.541727964
1970-02-01,5.69538411
1970-03-01,5.718070059
1970-04-01,5.760508914
1970-05-01,5.802757132
1970-06-01,5.845343819
1970-07-01,6.008652623
1970-08-01,5.986185465
1970-09-01,5.926516098
1970-10-01,5.991521352
1970-11-01,6.354887696
1970-12-01,6.170434574
1971-01-01,6.120822576
1971-02-01,6.152129419
1971-03-01,5.986856903
1971-04-01,5.941839118
1971-05-01,5.918899535
1971-06-01,5.914829796
1971-07-01,5.793927161
1971-08-01,5.633424061
1971-09-01,5.46503383
1971-10-01,5.047646594
1971-11-01,4.424895667
1971-12-01,4.376825464
1972-01-01,4.012260021
1972-02-01,3.658914767
1972-03-01,3.517103258
1972-04-01,3.269084127
1972-05-01,3.092863022
1972-06-01,2.836281234
1972-07-01,2.673651434
1972-08-01,2.545095267
1972-09-01,2.521952543
1972-10-01,2.7947514
1972-11-01,2.886664757
1972-12-01,2.749527231
1973-01-01,2.499680045
1973-02-01,2.63113876
1973-03-01,2.719306789
1973-04-01,2.893787026
1973-05-01,3.107138861
1973-06-01,3.286628559
1973-07-01,3.365290088
1973-08-01,3.554155544
1973-09-01,3.934832688
1973-10-01,4.586319326
1973-11-01,4.817932396
1973-12-01,5.164487407
1974-01-01,5.705515397
1974-02-01,6.075522275
1974-03-01,6.527350627
1974-04-01,6.933412737
1974-05-01,7.631398661
1974-06-01,8.479050824
1974-07-01,9.326110176
1974-08-01,10.167034576
1974-09-01,10.627464781
1974-10-01,10.728527522
1974-11-01,11.143516055
1974-12-01,11.496319975
1975-01-01,11.691713137
1975-02-01,11.798276496
1975-03-01,11.64571217
1975-04-01,11.509909256
1975-05-01,10.621621287
1975-06-01,9.866732009
1975-07-01,9.251093733
1975-08-01,8.563657479
1975-09-01,8.447660605
1975-10-01,8.140477893
1975-11-01,8.022894015
1975-12-01,7.787246174
1976-01-01,7.942489072
1976-02-01,7.805686975
1976-03-01,7.892531834
1976-04-01,7.614904975
1976-05-01,7.697756649
1976-06-01,7.746020822
1976-07-01,7.870726691
1976-08-01,7.940597959
1976-09-01,7.577650737
1976-10-01,7.483353573
1976-11-01,7.404207257
