"Date","SUUR0000SAM2"
1999-12-01,100
2000-01-01,100.6
2000-02-01,101.3
2000-03-01,101.7
2000-04-01,102
2000-05-01,102.2
2000-06-01,102.7
2000-07-01,103.1
2000-08-01,103.5
2000-09-01,103.7
2000-10-01,103.9
2000-11-01,104.1
2000-12-01,104.4
2001-01-01,105.5
2001-02-01,106.1
2001-03-01,106.5
2001-04-01,106.8
2001-05-01,107
2001-06-01,107.3
2001-07-01,107.5
2001-08-01,108.1
2001-09-01,108.3
2001-10-01,108.7
2001-11-01,109.1
2001-12-01,109.3
2002-01-01,110.3
2002-02-01,110.9
2002-03-01,111.3
2002-04-01,111.8
2002-05-01,112.1
2002-06-01,112.3
2002-07-01,113.2
2002-08-01,113.5
2002-09-01,113.8
2002-10-01,114.6
2002-11-01,115.1
2002-12-01,115.5
2003-01-01,115.9
2003-02-01,116.5
2003-03-01,116.6
2003-04-01,116.8
2003-05-01,117.2
2003-06-01,117.5
2003-07-01,118
2003-08-01,118.3
2003-09-01,118.7
2003-10-01,119.1
2003-11-01,119.6
2003-12-01,120.2
2004-01-01,121
2004-02-01,122
2004-03-01,122.6
2004-04-01,122.8
2004-05-01,123.2
2004-06-01,123.7
2004-07-01,124.1
2004-08-01,124.3
2004-09-01,124.6
2004-10-01,125
2004-11-01,125.5
2004-12-01,126
2005-01-01,126.9
2005-02-01,128
2005-03-01,128.6
2005-04-01,129
2005-05-01,129.2
2005-06-01,129.5
2005-07-01,129.9
2005-08-01,129.9
2005-09-01,130.3
2005-10-01,130.8
2005-11-01,131.4
2005-12-01,131.6
2006-01-01,132.2
2006-02-01,133.2
2006-03-01,133.8
2006-04-01,134.2
2006-05-01,134.5
2006-06-01,134.7
2006-07-01,135.1
2006-08-01,135.5
2006-09-01,135.7
2006-10-01,136.2
2006-11-01,136.7
2006-12-01,137.2
2007-01-01,138.57
2007-02-01,139.963
2007-03-01,140.42
2007-04-01,140.899
2007-05-01,141.211
2007-06-01,141.553
2007-07-01,142.247
2007-08-01,142.77
2007-09-01,143.093
2007-10-01,143.795
2007-11-01,144.264
2007-12-01,144.675
2008-01-01,145.823
2008-02-01,146.574
2008-03-01,146.694
2008-04-01,146.94
2008-05-01,147.325
2008-06-01,147.406
2008-07-01,147.695
2008-08-01,147.9
2008-09-01,147.991
2008-10-01,148.423
2008-11-01,148.632
2008-12-01,148.866
2009-01-01,149.952
2009-02-01,150.849
2009-03-01,151.108
2009-04-01,151.393
2009-05-01,151.724
2009-06-01,151.766
2009-07-01,152.127
2009-08-01,152.16
2009-09-01,152.486
2009-10-01,152.947
2009-11-01,153.25
2009-12-01,153.523
2010-01-01,154.716
2010-02-01,155.815
2010-03-01,156.174
2010-04-01,156.398
2010-05-01,156.305
2010-06-01,156.359
2010-07-01,156.415
2010-08-01,156.852
2010-09-01,157.621
2010-10-01,157.873
2010-11-01,157.928
2010-12-01,158.117
2011-01-01,158.911
2011-02-01,160.024
2011-03-01,160.175
2011-04-01,160.465
2011-05-01,160.741
2011-06-01,160.954
2011-07-01,161.291
2011-08-01,161.683
2011-09-01,162.057
2011-10-01,162.838
2011-11-01,163.417
2011-12-01,163.977
2012-01-01,164.818
2012-02-01,165.726
2012-03-01,166.16
2012-04-01,166.795
2012-05-01,167.563
2012-06-01,168.311
2012-07-01,168.858
2012-08-01,168.831
2012-09-01,169.307
2012-10-01,169.642
2012-11-01,169.996
2012-12-01,170.395
2013-01-01,171.249
2013-02-01,172.612
2013-03-01,173.012
2013-04-01,172.763
2013-05-01,172.616
2013-06-01,173.31
2013-07-01,173.502
2013-08-01,174.462
2013-09-01,175.019
2013-10-01,174.905
2013-11-01,174.741
2013-12-01,174.862
2014-01-01,175.801
2014-02-01,177.026
2014-03-01,177.383
2014-04-01,177.591
2014-05-01,177.864
2014-06-01,177.776
2014-07-01,177.864
2014-08-01,177.683
2014-09-01,177.877
2014-10-01,178.116
2014-11-01,178.616
2014-12-01,178.971
2015-01-01,179.709
2015-02-01,179.793
2015-03-01,180.654
2015-04-01,182.094
2015-05-01,182.266
2015-06-01,181.666
2015-07-01,181.737
2015-08-01,181.491
2015-09-01,182.003
2015-10-01,183.585
2015-11-01,184.206
2015-12-01,184.243
2016-01-01,185.643
2016-02-01,187.13
2016-03-01,187.256
2016-04-01,187.711
2016-05-01,188.724
2016-06-01,188.842
2016-07-01,189.511
2016-08-01,190.87
2016-09-01,190.979
2016-10-01,190.989
2016-11-01,191.338
2016-12-01,191.41
2017-01-01,192.249
2017-02-01,193.405
2017-03-01,193.393
2017-04-01,193.209
2017-05-01,193.121
2017-06-01,193.094
2017-07-01,193.442
2017-08-01,193.81
2017-09-01,194.081
2017-10-01,194.454
2017-11-01,194.305
2017-12-01,194.34
2018-01-01,195.67
2018-02-01,196.37
2018-03-01,196.971
2018-04-01,197.158
2018-05-01,197.064
2018-06-01,197.44
2018-07-01,197.346
2018-08-01,196.741
2018-09-01,197.173
2018-10-01,197.547
2018-11-01,198.14
2018-12-01,198.677
2019-01-01,199.81
2019-02-01,200.645
2019-03-01,200.906
2019-04-01,201.088
2019-05-01,201.919
2019-06-01,202.404
2019-07-01,203.241
2019-08-01,204.427
2019-09-01,205.033
2019-10-01,206.483
2019-11-01,207.155
2019-12-01,207.516
2020-01-01,208.707
2020-02-01,209.641
2020-03-01,210.279
2020-04-01,210.883
2020-05-01,211.658
2020-06-01,212.323
2020-07-01,213.148
2020-08-01,213.237
2020-09-01,213.369
2020-10-01,212.915
2020-11-01,212.842
2020-12-01,212.575
2021-01-01,214.466
2021-02-01,216.05
2021-03-01,216.423
2021-04-01,216.131
2021-05-01,215.874
2021-06-01,215.69
2021-07-01,216.346
2021-08-01,216.926
2021-09-01,216.643
2021-10-01,217.606
2021-11-01,218.099
2021-12-01,218.536
2022-01-01,220.691
2022-02-01,221.538
2022-03-01,222.771
2022-04-01,223.611
2022-05-01,224.479
2022-06-01,225.725
2022-07-01,226.769
2022-08-01,228.648
2022-09-01,230.049
2022-10-01,228.914
2022-11-01,227.214
2022-12-01,226.996
2023-01-01,226.671
2023-02-01,225.589
2023-03-01,224.303
2023-04-01,223.702
2023-05-01,223.394
2023-06-01,223.229
2023-07-01,222.486
2023-08-01,222.721
2023-09-01,222.867
2023-10-01,223.25
2023-11-01,224.038
