"Date","SUUR0000SAS"
1999-12-01,100
2000-01-01,100.6
2000-02-01,100.9
2000-03-01,101.4
2000-04-01,101.5
2000-05-01,101.7
2000-06-01,102.4
2000-07-01,102.9
2000-08-01,103.2
2000-09-01,103.3
2000-10-01,103.4
2000-11-01,103.4
2000-12-01,103.6
2001-01-01,104.8
2001-02-01,105.2
2001-03-01,105.6
2001-04-01,105.7
2001-05-01,105.9
2001-06-01,106.8
2001-07-01,107.1
2001-08-01,107.5
2001-09-01,107.3
2001-10-01,107.2
2001-11-01,107.3
2001-12-01,107.4
2002-01-01,107.9
2002-02-01,108.4
2002-03-01,108.8
2002-04-01,108.9
2002-05-01,109.1
2002-06-01,109.6
2002-07-01,110
2002-08-01,110.5
2002-09-01,110.6
2002-10-01,110.7
2002-11-01,110.7
2002-12-01,110.7
2003-01-01,111.3
2003-02-01,111.8
2003-03-01,112.5
2003-04-01,112.5
2003-05-01,112.8
2003-06-01,113.3
2003-07-01,113.7
2003-08-01,114
2003-09-01,114
2003-10-01,114.1
2003-11-01,113.8
2003-12-01,113.9
2004-01-01,114.6
2004-02-01,115
2004-03-01,115.5
2004-04-01,115.7
2004-05-01,115.9
2004-06-01,116.6
2004-07-01,117
2004-08-01,117.3
2004-09-01,117.4
2004-10-01,117.4
2004-11-01,117.4
2004-12-01,117.5
2005-01-01,117.9
2005-02-01,118.5
2005-03-01,118.9
2005-04-01,119.2
2005-05-01,119.4
2005-06-01,119.9
2005-07-01,120.4
2005-08-01,120.6
2005-09-01,120.8
2005-10-01,121.3
2005-11-01,121.4
2005-12-01,121.5
2006-01-01,122.3
2006-02-01,122.6
2006-03-01,123
2006-04-01,123.2
2006-05-01,123.5
2006-06-01,124.3
2006-07-01,124.9
2006-08-01,125.2
2006-09-01,125.3
2006-10-01,125.2
2006-11-01,125.2
2006-12-01,125.3
2007-01-01,125.972
2007-02-01,126.51
2007-03-01,126.922
2007-04-01,127.254
2007-05-01,127.465
2007-06-01,128.272
2007-07-01,128.67
2007-08-01,128.865
2007-09-01,128.988
2007-10-01,129.08
2007-11-01,129.138
2007-12-01,129.271
2008-01-01,129.914
2008-02-01,130.35
2008-03-01,130.988
2008-04-01,131.371
2008-05-01,131.909
2008-06-01,132.927
2008-07-01,133.729
2008-08-01,133.977
2008-09-01,133.861
2008-10-01,133.707
2008-11-01,133.415
2008-12-01,133.381
2009-01-01,133.853
2009-02-01,134.012
2009-03-01,134.064
2009-04-01,133.906
2009-05-01,133.886
2009-06-01,134.489
2009-07-01,134.711
2009-08-01,134.937
2009-09-01,134.898
2009-10-01,134.798
2009-11-01,134.537
2009-12-01,134.455
2010-01-01,134.691
2010-02-01,134.804
2010-03-01,134.999
2010-04-01,135.082
2010-05-01,135.209
2010-06-01,135.697
2010-07-01,135.928
2010-08-01,136.07
2010-09-01,136.04
2010-10-01,135.858
2010-11-01,135.798
2010-12-01,135.915
2011-01-01,136.241
2011-02-01,136.613
2011-03-01,136.822
2011-04-01,137.211
2011-05-01,137.523
2011-06-01,138.073
2011-07-01,138.477
2011-08-01,138.828
2011-09-01,139.026
2011-10-01,138.973
2011-11-01,138.997
2011-12-01,139.196
2012-01-01,139.536
2012-02-01,139.68
2012-03-01,140
2012-04-01,140.267
2012-05-01,140.572
2012-06-01,141.168
2012-07-01,141.294
2012-08-01,141.496
2012-09-01,141.754
2012-10-01,141.805
2012-11-01,141.922
2012-12-01,142.144
2013-01-01,142.599
2013-02-01,143.03
2013-03-01,143.26
2013-04-01,143.393
2013-05-01,143.797
2013-06-01,144.338
2013-07-01,144.563
2013-08-01,144.799
2013-09-01,145.021
2013-10-01,144.945
2013-11-01,145.07
2013-12-01,145.184
2014-01-01,145.803
2014-02-01,146.257
2014-03-01,146.87
2014-04-01,146.975
2014-05-01,147.622
2014-06-01,148.156
2014-07-01,148.342
2014-08-01,148.275
2014-09-01,148.365
2014-10-01,148.428
2014-11-01,148.487
2014-12-01,148.615
2015-01-01,149.117
2015-02-01,149.221
2015-03-01,149.483
2015-04-01,149.839
2015-05-01,150.141
2015-06-01,150.806
2015-07-01,151.008
2015-08-01,151.004
2015-09-01,151.255
2015-10-01,151.443
2015-11-01,151.712
2015-12-01,151.749
2016-01-01,152.29
2016-02-01,152.743
2016-03-01,153.128
2016-04-01,153.544
2016-05-01,154.221
2016-06-01,154.922
2016-07-01,155.068
2016-08-01,155.291
2016-09-01,155.501
2016-10-01,155.583
2016-11-01,155.836
2016-12-01,156.092
2017-01-01,156.706
2017-02-01,157.238
2017-03-01,157.097
2017-04-01,157.315
2017-05-01,157.807
2017-06-01,158.35
2017-07-01,158.331
2017-08-01,158.684
2017-09-01,158.99
2017-10-01,159.264
2017-11-01,159.35
2017-12-01,159.597
2018-01-01,160.119
2018-02-01,160.698
2018-03-01,161.074
2018-04-01,161.369
2018-05-01,161.943
2018-06-01,162.444
2018-07-01,162.603
2018-08-01,162.728
2018-09-01,162.965
2018-10-01,163.106
2018-11-01,163.21
2018-12-01,163.576
2019-01-01,164.047
2019-02-01,164.494
2019-03-01,164.91
2019-04-01,165.307
2019-05-01,165.69
2019-06-01,166.308
2019-07-01,166.562
2019-08-01,166.807
2019-09-01,167.118
2019-10-01,167.321
2019-11-01,167.577
2019-12-01,167.681
2020-01-01,168.345
2020-02-01,168.905
2020-03-01,168.893
2020-04-01,168.309
2020-05-01,167.989
2020-06-01,168.729
2020-07-01,169.702
2020-08-01,169.9
2020-09-01,169.965
2020-10-01,169.946
2020-11-01,170.352
2020-12-01,170.546
2021-01-01,170.958
2021-02-01,171.564
2021-03-01,172.069
2021-04-01,172.76
2021-05-01,173.494
2021-06-01,174.427
2021-07-01,175.117
2021-08-01,175.095
2021-09-01,175.423
2021-10-01,176.185
2021-11-01,176.744
2021-12-01,177.15
2022-01-01,178.242
2022-02-01,179.264
2022-03-01,180.397
2022-04-01,181.811
2022-05-01,183.369
2022-06-01,184.852
2022-07-01,185.4
2022-08-01,186.203
2022-09-01,187.321
2022-10-01,188.119
2022-11-01,188.716
2022-12-01,189.576
2023-01-01,190.954
2023-02-01,192.034
2023-03-01,192.625
2023-04-01,193.223
2023-05-01,193.805
2023-06-01,194.675
2023-07-01,195.222
2023-08-01,195.859
2023-09-01,196.777
2023-10-01,197.259
2023-11-01,198.031
